,distrito,ano,quarter,precio
372,San Blas,2012,4,9.7311412226694
373,Tetuan,2012,4,11.0605195777613
374,Usera,2012,4,9.228985607643471
375,Vicálvaro,2012,4,8.693941448194991
376,Villa De Vallecas,2012,4,9.16920633662819
377,Villaverde,2012,4,9.0595459838914
378,Arganzuela,2013,1,11.2357607094677
379,Barajas,2013,1,10.4066671271389
380,Carabanchel,2013,1,9.15628252189198
381,Centro,2013,1,13.7044674589368
382,Chamartín,2013,1,12.258727926749
383,Chamberí,2013,1,13.072172924370301
384,Ciudad Lineal,2013,1,10.393237928017
385,Fuencarral,2013,1,9.999511454711788
386,Hortaleza,2013,1,11.3358198230437
387,Latina,2013,1,9.03532193577828
388,Moncloa,2013,1,11.561936087068998
389,Moratalaz,2013,1,8.92897555999387
390,Puente De Vallecas,2013,1,9.164216047080881
391,Retiro,2013,1,11.431685938510402
392,Salamanca,2013,1,13.5356783233938
393,San Blas,2013,1,9.54678814048909
394,Tetuan,2013,1,10.665525434333901
395,Usera,2013,1,9.034586107986831
396,Vicálvaro,2013,1,8.57406277291481
397,Villa De Vallecas,2013,1,9.03346239789739
398,Villaverde,2013,1,8.41400496356517
399,Arganzuela,2013,2,11.0083457797019
400,Barajas,2013,2,10.2963256087653
401,Carabanchel,2013,2,9.02002835347907
402,Centro,2013,2,13.498280136351099
403,Chamartín,2013,2,12.062165543001301
404,Chamberí,2013,2,12.9942812453129
405,Ciudad Lineal,2013,2,10.2022445018551
406,Fuencarral,2013,2,10.0321486413258
407,Hortaleza,2013,2,10.887084156639302
408,Latina,2013,2,8.79643198397542
409,Moncloa,2013,2,11.7677892021141
410,Moratalaz,2013,2,8.71382288160069
411,Puente De Vallecas,2013,2,9.22174861433047
412,Retiro,2013,2,11.4195758986885
413,Salamanca,2013,2,13.527276604383099
414,San Blas,2013,2,9.34902135574314
415,Tetuan,2013,2,10.5591291676963
416,Usera,2013,2,8.99938001786019
417,Vicálvaro,2013,2,8.60658266148793
418,Villa De Vallecas,2013,2,8.822883605832091
419,Villaverde,2013,2,8.217091705832269
420,Arganzuela,2013,3,10.89
421,Barajas,2013,3,10.01
422,Carabanchel,2013,3,9.22
423,Centro,2013,3,13.49
424,Chamartín,2013,3,12.57
425,Chamberí,2013,3,12.96
426,Ciudad Lineal,2013,3,10.48
427,Fuencarral,2013,3,10.2
428,Hortaleza,2013,3,10.73
429,Latina,2013,3,8.92
430,Moncloa,2013,3,11.75
431,Moratalaz,2013,3,8.48
432,Puente De Vallecas,2013,3,9.08
433,Retiro,2013,3,11.35
434,Salamanca,2013,3,13.59
435,San Blas,2013,3,9.46
